year,country_code,country,commodity_code,commodity_description,net_weight_kg,import_value_usd,sector,product_group,avg_price_usd_kg,population,gdp_per_capita,import_value_usd_per_capita,net_weight_kg_per_capita
2020,AUT,Austria,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",62278914.151,424973656.52,Coffee,Coffee total,6.823716538949584,8916864.0,48716.4098900349,47.6595422471398,6.9843965491679585
2020,BEL,Belgium,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",173779219.44,608048981.644,Coffee,Coffee total,3.4989740637771622,11538604.0,45906.2875805246,52.69692777774504,15.06067973560753
2020,BGR,Bulgaria,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",39984499.0,131309216.319,Coffee,Coffee total,3.284003041253562,6550696.0,10760.211975413,20.045078617447675,6.1038550712779225
2020,AUT,Austria,1801,"Cocoa beans; whole or broken, raw or roasted",26589973.791,73874465.103,Cocoa,Cocoa beans,2.7782827348255807,8916864.0,48716.4098900349,8.2848033908558,2.9819871415555963
2020,BEL,Belgium,1801,"Cocoa beans; whole or broken, raw or roasted",81242822.13,232573368.816,Cocoa,Cocoa beans,2.8626943614027804,11538604.0,45906.2875805246,20.156109769951374,7.040957652242853
2020,BGR,Bulgaria,1801,"Cocoa beans; whole or broken, raw or roasted",16728809.0,41069493.896,Cocoa,Cocoa beans,2.455016008372144,6550696.0,10760.211975413,6.269485547184604,2.553745281417425
2020,AUT,Austria,1806,Chocolate and other food preparations containing cocoa,87091643.013,486270717.172,Cocoa,Chocolate and cocoa preparations,5.583437174326994,8916864.0,48716.4098900349,54.53382682207556,9.767070913383899
2020,BEL,Belgium,1806,Chocolate and other food preparations containing cocoa,185989483.35,821056994.838,Cocoa,Chocolate and cocoa preparations,4.414534521249855,11538604.0,45906.2875805246,71.15739432933135,16.11888954244378
2020,BGR,Bulgaria,1806,Chocolate and other food preparations containing cocoa,38450359.0,187363679.198,Cocoa,Chocolate and cocoa preparations,4.872872037371615,6550696.0,10760.211975413,28.602102615966306,5.869660109399062
2020,HRV,Croatia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",21016462.379,71870225.0,Coffee,Coffee total,3.4197108773079683,3914206.0,14807.5608543265,18.361380315701318,5.369278566074448
2020,CYP,Cyprus,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",3354628.0,23433877.94,Coffee,Coffee total,6.985536977572476,1302247.0,28130.341796875,17.994956363884885,2.5760305072693583
2020,CZE,Czechia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",56663014.081,269787764.0,Coffee,Coffee total,4.761267440068354,10697858.0,23472.8915454417,25.218858205072454,5.296669116471727
2020,DNK,Denmark,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",35945472.0,170270509.089,Coffee,Coffee total,4.73691120508864,5831404.0,60985.4885601514,29.198887453004453,6.164119652831462
2020,HRV,Croatia,1801,"Cocoa beans; whole or broken, raw or roasted",1770818.45,5143662.0,Cocoa,Cocoa beans,2.9046806012214295,3914206.0,14807.5608543265,1.3141009951954497,0.4524080873617791
2020,CYP,Cyprus,1801,"Cocoa beans; whole or broken, raw or roasted",2012.0,7090.753,Cocoa,Cocoa beans,3.5242311133200794,1302247.0,28130.341796875,0.005445013887534393,0.001545021796940212
2020,CZE,Czechia,1801,"Cocoa beans; whole or broken, raw or roasted",121206.11,640448.0,Cocoa,Cocoa beans,5.2839580446893315,10697858.0,23472.8915454417,0.059866937848679615,0.011329941937909439
2020,DNK,Denmark,1801,"Cocoa beans; whole or broken, raw or roasted",773191.0,2288382.607,Cocoa,Cocoa beans,2.959660170643476,5831404.0,60985.4885601514,0.3924239526193006,0.1325908820585917
2020,HRV,Croatia,1806,Chocolate and other food preparations containing cocoa,40939568.046,178109170.0,Cocoa,Chocolate and cocoa preparations,4.350538574317033,3914206.0,14807.5608543265,45.503269373150005,10.459226736150319
2020,CYP,Cyprus,1806,Chocolate and other food preparations containing cocoa,5407963.0,31617004.119,Cocoa,Chocolate and cocoa preparations,5.846379518314012,1302247.0,28130.341796875,24.278807414415237,4.152793594456352
2020,CZE,Czechia,1806,Chocolate and other food preparations containing cocoa,86410606.334,399217404.0,Cocoa,Chocolate and cocoa preparations,4.620004660734799,10697858.0,23472.8915454417,37.31750823389131,8.077374586015257
2020,DNK,Denmark,1806,Chocolate and other food preparations containing cocoa,52755422.095,328627503.756,Cocoa,Chocolate and cocoa preparations,6.229264987477872,5831404.0,60985.4885601514,56.35478244278736,9.046778802326163
2020,EST,Estonia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",6888500.889,42143267.2,Coffee,Coffee total,6.117915621858606,1329522.0,23933.9939421065,31.698059302516246,5.181186087180205
2020,FIN,Finland,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",71410759.103,261491310.572,Coffee,Coffee total,3.661791498320799,5529543.0,48828.6846862799,47.28985931965806,12.914405241626659
2020,FRA,France,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",386427149.295,2892373125.269,Coffee,Coffee total,7.484911788796058,67601110.0,39169.8606000707,42.785882144080176,5.716284086089711
2020,EST,Estonia,1801,"Cocoa beans; whole or broken, raw or roasted",13497202.063,32769500.68,Cocoa,Cocoa beans,2.4278736086963777,1329522.0,23933.9939421065,24.64758061919998,10.151920812893655
2020,FIN,Finland,1801,"Cocoa beans; whole or broken, raw or roasted",32822.798,210891.643,Cocoa,Cocoa beans,6.425157386033939,5529543.0,48828.6846862799,0.038139072794985046,0.005935897053336958
2020,FRA,France,1801,"Cocoa beans; whole or broken, raw or roasted",159482781.658,455938204.68,Cocoa,Cocoa beans,2.8588553569232857,67601110.0,39169.8606000707,6.744537252125002,2.3591740085037065
2020,EST,Estonia,1806,Chocolate and other food preparations containing cocoa,8973552.355,50289987.14,Cocoa,Chocolate and cocoa preparations,5.604245136206151,1329522.0,23933.9939421065,37.825614875120536,6.7494575907732255
2020,FIN,Finland,1806,Chocolate and other food preparations containing cocoa,26095267.109,151467806.297,Cocoa,Chocolate and cocoa preparations,5.804416780419168,5529543.0,48828.6846862799,27.392463770875818,4.719244810827948
2020,FRA,France,1806,Chocolate and other food preparations containing cocoa,464681224.694,2220138746.735,Cocoa,Chocolate and cocoa preparations,4.777767270879078,67601110.0,39169.8606000707,32.841749887464864,6.873869744061895
2020,DEU,Germany,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",1175978126.89,3386437527.32,Coffee,Coffee total,2.8796773085191614,83160871.0,47394.8734504469,40.72152547945295,14.141003007171488
