year,country_code,country,commodity_code,commodity_description,net_weight_kg,import_value_usd,sector,product_group,avg_price_usd_kg
2020,ALB,Albania,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0.0,30867318.127,Coffee,Coffee total,
2020,AND,Andorra,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",491576.0,5042071.568,Coffee,Coffee total,10.25695226780803
2020,AGO,Angola,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",307820.936,2918112.508,Coffee,Coffee total,9.47990265353491
2020,ATG,Antigua and Barbuda,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",63810.351,288960.642,Coffee,Coffee total,4.528428969149535
2020,AZE,Azerbaijan,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",223677.625,2010448.58,Coffee,Coffee total,8.98815239119246
2020,ARG,Argentina,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",29220813.03,70439214.01,Coffee,Coffee total,2.4105836458993286
2020,AUS,Australia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",103254955.45,491220623.899,Coffee,Coffee total,4.757356407333572
2020,AUT,Austria,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",62278914.151,424973656.52,Coffee,Coffee total,6.823716538949584
2020,BHS,Bahamas,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",246830.705,2133707.0,Coffee,Coffee total,8.644414802445263
2020,BHR,Bahrain,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",854512.15,8378904.2,Coffee,Coffee total,9.805482812620044
2020,ARM,Armenia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",12141631.887,22685419.67,Coffee,Coffee total,1.8683995595591394
2020,BRB,Barbados,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",162356.131,876531.5,Coffee,Coffee total,5.398819832680048
2020,BEL,Belgium,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",173779219.44,608048981.644,Coffee,Coffee total,3.4989740637771622
2020,BMU,Bermuda,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",199383.88,2250820.46,Coffee,Coffee total,11.288878820093178
2020,BTN,Bhutan,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",14127.25,60733.801,Coffee,Coffee total,4.299053318940346
2020,BOL,Bolivia (Plurinational State of),901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",88194.0,633625.54,Coffee,Coffee total,7.18445177676486
2020,BIH,Bosnia Herzegovina,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",21524490.87,46092115.66,Coffee,Coffee total,2.1413800650793275
2020,BWA,Botswana,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",1365702.57,5493391.85,Coffee,Coffee total,4.022392555064167
2020,BRA,Brazil,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",5826345.52,65629844.0,Coffee,Coffee total,11.264324056085162
2020,BLZ,Belize,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",1302850.932,2565698.46,Coffee,Coffee total,1.969295486523089
2020,BRN,Brunei Darussalam,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",118669.0,887661.82,Coffee,Coffee total,7.48014915437056
2020,BGR,Bulgaria,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",39984499.0,131309216.319,Coffee,Coffee total,3.284003041253562
2020,MMR,Myanmar,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",1734808.19,1554610.36,Coffee,Coffee total,0.8961280958674747
2020,BDI,Burundi,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",9867.0,9055.284,Coffee,Coffee total,0.9177342657342658
2020,BLR,Belarus,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0.0,53242600.0,Coffee,Coffee total,
2020,KHM,Cambodia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",769112.22,3631583.49,Coffee,Coffee total,4.721786230363107
2020,CMR,Cameroon,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",153056.5,206441.79,Coffee,Coffee total,1.3487946607951966
2020,AND,Andorra,1801,"Cocoa beans; whole or broken, raw or roasted",250.0,2344.895,Cocoa,Cocoa beans,9.37958
